procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 2409916 219688 6339024    0    0    11    34  234  158 15  9 76  0  0
 0  0      0 1881292 219688 6344884    0    0     0     0 13481 19134 32 19 49  0  0
 1  0      0 1358812 219688 6344948    0    0     0     0 12990 18788 25 18 56  0  0
 0  0      0 834240 219688 6345168    0    0     0     0 12923 19680 18 14 69  0  0
 3  0      0 680732 219696 6346420    0    0     0   156 13018 20748 16 12 67  5  0
 0  0      0 307484 219696 6342664    0    0     0   116 13138 22360 17 12 63  8  0
 4  0      0 270104 219696 5878528    0    0     0    56 16599 19725 24 29 44  3  0
 0  0      0 177404 219696 5450692    0    0     0     0 13759 19136 26 27 47  0  0
 2  0      0 191312 219696 5359096    0    0     0     0 12933 19551 11 10 79  0  0
 0  0      0 274128 219680 4829608    0    0     0     0 13244 19299 18 20 63  0  0
 2  0      0 208888 219040 4374424    0    0     0    16 12998 19512 13 21 65  1  0
 3  0  14164 190092 196896 3934652    0 7644     0  7644 13577 20319 16 24 59  0  0
 1  0  46868 372540 192632 3719680    0  132     0   132 13499 18777 31 21 48  0  0
 0  0 146528 354284 158884 3256996    0 12832     0 12832 14467 19407 17 52 30  0  0
 2  0 146528 1278332 158892 3262420    0    0   100     0 13193 18808 24 17 59  1  0
 2  0 146528 5599540 159032 3262176    0    0   492     0 13034 19831 13 14 69  4  0
 1  0 146528 5598104 159032 3263676    0    0     0   904 12822 19427 10  8 82  0  0
 1  0 146528 5598868 159032 3262488    0    0     0     0 12773 19263 11 11 78  0  0
 1  0 146528 5597820 159032 3264824    0    0   880     0 12867 19405 16 10 71  3  0
 1  0 146528 5597412 159032 3264644    0    0     0     0 12846 19554 16  8 76  0  0
 1  0 146528 5600500 159032 3261444    0    0     0     0 12962 19589 14  8 78  0  0
 0  1 146528 5597880 159312 3264164    0    0   272    56 12854 19739 13  8 76  3  0
 0  0 146528 5596904 159312 3265408    0    0   112     0 12861 19486 13  8 78  1  0
 0  0 146528 5598036 159312 3263364    0    0     0     0 12903 19171 16  8 77  0  0
 0  0 146528 5597568 159312 3263360    0    0     0     0 12793 19348 16  7 77  0  0
